Year,Artist,Category
2026,Bad Bunny,Album of the Year
2026,Olivia Dean,Best New Artist
2026,Mayhem,Best Pop Vocal Album
2026,Kendrick Lamar & SZA,Record of the Year
2026,Wildflower,Song of the Year
2025,Chappell Roan,Best New Artist
2025,Short n' Sweet,Best Pop Vocal Album
2025,Kendrick Lamar,Record of the Year
2025,"Not Like Us"" *",Song of the Year
2024,Taylor Swift,Album of the Year
2024,Victoria Monét,Best New Artist
2024,Midnights,Best Pop Vocal Album
2024,Miley Cyrus,Record of the Year
2024,What Was I Made For?,Song of the Year
2024,Billie Eilish & Finneas O'Connell,Song of the Year
2023,Harry Styles,Album of the Year
2023,Samara Joy,Best New Artist
2023,Harry's House,Best Pop Vocal Album
2023,Lizzo,Record of the Year
2023,Just Like That,Song of the Year
2023,Bonnie Raitt,Song of the Year
2022,Jon Batiste,Album of the Year
2022,Olivia Rodrigo,Best New Artist
2022,Sour,Best Pop Vocal Album
2022,Silk Sonic,Record of the Year
2022,"Leave the Door Open"" *",Song of the Year
2022,Silk Sonic,Song of the Year
2021,Taylor Swift,Album of the Year
2021,Megan Thee Stallion,Best New Artist
2021,Future Nostalgia,Best Pop Vocal Album
2021,Billie Eilish,Record of the Year
2021,I Can't Breathe,Song of the Year
2021,H.E.R.,Song of the Year
2020,Billie Eilish,Album of the Year
2020,Billie Eilish,Best New Artist
2020,"When We All Fall Asleep, Where Do We Go?",Best Pop Vocal Album
2020,Billie Eilish,Record of the Year
2020,"Bad Guy"" *",Song of the Year
2020,Billie Eilish & Finneas O'Connell,Song of the Year
2019,Kacey Musgraves,Album of the Year
2019,Dua Lipa,Best New Artist
2019,Sweetener,Best Pop Vocal Album
2019,Childish Gambino,Record of the Year
2019,"This Is America"" *",Song of the Year
2018,Bruno Mars,Album of the Year
2018,Alessia Cara,Best New Artist
2018,÷,Best Pop Vocal Album
2018,Bruno Mars,Record of the Year
2018,That's What I Like,Song of the Year
2017,Adele,Album of the Year
2017,Chance the Rapper,Best New Artist
2017,25,Best Pop Vocal Album
2017,Adele,Record of the Year
2017,"Hello"" *",Song of the Year
2016,Taylor Swift,Album of the Year
2016,Meghan Trainor,Best New Artist
2016,1989,Best Pop Vocal Album
2016,Mark Ronson featuring Bruno Mars,Record of the Year
2016,Thinking Out Loud,Song of the Year
2015,Beck,Album of the Year
2015,Sam Smith,Best New Artist
2015,In the Lonely Hour,Best Pop Vocal Album
2015,Sam Smith,Record of the Year
2015,"Stay with Me"" *",Song of the Year
2014,Daft Punk,Album of the Year
2014,Macklemore & Ryan Lewis,Best New Artist
2014,Unorthodox Jukebox,Best Pop Vocal Album
2014,Daft Punk featuring Pharrell Williams & Nile Rodgers,Record of the Year
2014,Royals,Song of the Year
2013,Mumford & Sons,Album of the Year
2013,Fun,Best New Artist
2013,Stronger,Best Pop Vocal Album
2013,Gotye featuring Kimbra,Record of the Year
2013,We Are Young,Song of the Year
2012,Adele,Album of the Year
2012,Bon Iver,Best New Artist
2012,21,Best Pop Vocal Album
2012,Adele,Record of the Year
2012,"Rolling in the Deep"" *",Song of the Year
2011,Arcade Fire,Album of the Year
2011,Esperanza Spalding,Best New Artist
2011,The Fame Monster,Best Pop Vocal Album
2011,Lady Antebellum,Record of the Year
2011,"Need You Now"" *",Song of the Year
2010,Taylor Swift,Album of the Year
2010,Zac Brown Band,Best New Artist
2010,The E.N.D.,Best Pop Vocal Album
2010,Kings of Leon,Record of the Year
2010,Single Ladies (Put a Ring on It),Song of the Year
